Sr No.,Date,Reference No.,Department,Procurement Requisition By,Procurement Approved By,Last Approver Date,Vendor Name,Vendor Code,Vendor Type,Product Details,Bill No,Amount,GST,TDS,Total,Status,Payment Type,Remarks,Payment Month,Payment Date,Asset Tagging Code,Tat
1,2/1/2025,EN/AD/24-0283,Envision Next,Rahul Jaiswal,,,The Hustler Reach,EN/24/B/0038,Service,Estella Website/Pamphlet Creatives,,17500,-,,17500,Unpaid,,Procurement with Rahul,January,,,
2,4/1/2025,EN/AD/24-0284,Envision Next,Rahul Jaiswal,ShivanshuTripathi+,,Instagram SMM Panel,EN/24/B/0039,Service,Instagram Followers - Envision Next ,,300,,,300,Unpaid,,,January,,,
3,11/1/2025,EN/AD/24-0285,Envision Next ,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+ShantanuKuchya,13/1/2025,Aadya Enterprises,EN/24/A/003,Servie & Maintenance,Coffee Beans - Dec'24,24-25/504,14750,997.5,,15748,Paid,EN-IMPS,,January,17/1/2025,,
4,11/1/2025,EN/AD/24-0286,Envision Next ,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+ShantanuKuchya,16/1/2025,LifeBox Technologies Pvt Ltd,EN/24/A/0020,Service,Health Insurance,LTPL/2024-25/014,22424,4036,,26460,Paid,EN-IMPS,,January,17/1/2025,,
5,4/1/2025,EN/AD/24-0287,Envision Next ,ShivanshuTripathi+,ShivanshuTripathi+HrushikeshMindhe+OnkarAvinash,11/1/2025,Shreya Enterprises,EN/24/D/0005,Stationery,"Xerox, Colour Print & Scan, Gift Papers",-,3008,-,,3008,Paid,EN-IMPS,,January,17/1/2025,,
6,4/1/2025,EN/AD/24-0288,Envision Next ,ShivanshuTripathi+,ShivanshuTripathi+,,Neelkanth Rajwadi Chai,EN/24/D/0003,Refreshment,"Tea/Coffee Service in Oct, Nov & Dec'24 ",,6930,-,,6930,Paid,,Urgen Basis Payment,January,6/1/2025,,
7,7/1/2025,EN/AD/24-0290,Envision Next,Soham Chandekar,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,8/1/2025,Life Designer Pvt Ltd,EN/24/A/0027,Service,TRET website development,INV/2025/00002,4207.34,757.32,,4964.66,Paid,EN-IMPS,,January,10/1/2025,,
8,7/1/2025,EN/AD/24-0291,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,8/1/2025,Croma,EN/24/C/0007,Asset,Laptop,SLA116367212551 & SLA116367213272,57742 + 40228,-,,97970,Paid,EN-IMPS,,January,9/1/2025,EN-L-7 & EN-L-8,
9,7/1/2025,EN/AD/24-0292,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,8/1/2025,Digital Infotech,EN/24/B/0003,Service,Online & Onsite IT Service,DIGI24-445 & DIGI24-404,1500,,,1500,Paid,EN-IMPS,,January,9/1/2025,,
10,9/1/2025,EN/AD/25-0001,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,9/1/2025,Medha Cloud,EN/24/A/0009,Subscription,7 x Microsoft 365 Business Basic ,13740,12180,2192.4,,14372,Paid,EN-IMPS,TDS deduction of Rs.5150,January,9/1/2025,,
